PROVINCIA;CIUDAD;UNIVERSIDAD;FACULTAD;CARRERA;M.POPULAR / M.ACADÉMICA;AÑO DEL ÚLTIMO PLAN DE ESTUDIOS RELEVADO;PLAN DE ESTUDIOS
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Tecnicatura en Composición Musical con Medios Electroacústicos;Académica con menciones a lo popular;2023;https://drive.google.com/file/d/1ZIRKWjeMmZLoc5A7HR_5lbV37zgyldg3/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Tecnicatura Universitaria en Arreglos Musicales;Popular;2022;https://drive.google.com/file/d/1qE357mADrXxamsesJk4lJZlDuEgNHvsF/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciado en Música con orientación en Canto ;Académica;2023; https://drive.google.com/file/d/1o5RZdHKKBWc0a4Oxx33s70zbR-nwj45_/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciado en Música con orientación en Clarinete;Académica;2023; https://drive.google.com/file/d/1yArwb_-6_t6XPC62lOBzop4QlwBw8VAS/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Composición;Académica;2023;https://drive.google.com/file/d/1k-fpPcLiK2FT3suXTlO9tyxjsuwo5AqH/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Contrabajo;Académica;2023; https://drive.google.com/file/d/1Rg_TTSDJ4NoMSOGWCd0APJnRCvzL8KMR/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Dirección coral;Académica;2023; https://drive.google.com/file/d/1pJ9sGrF8lY0WYYQ7OX_nkHAY_PzlDxMO/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Dirección Orquestal;Académica;2023; https://drive.google.com/file/d/1Lz9DQ9WqGNAXODRn1-f1MXBUmv76cb7d/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Flauta;Académica;2023; https://drive.google.com/file/d/1Y6cfyedOO3iEiBqdbNRKbZrfMrWqDTs3/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Guitarra;Académica con menciones a lo popular;2023;https://drive.google.com/file/d/1_BFMIDwbi4UEGYkjPiTYpmSf5qVxHhP3/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Percusión;Académica con menciones a lo popular;2023; https://drive.google.com/file/d/1aOPB85X5na-xeK7RRH8S8UcwTVB9JNWr/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Piano;Académica;2023; https://drive.google.com/file/d/1eR2ocTVUwnYDFXodKnGuGvZgnxvy5LM1/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Saxofón;Académica;2023; https://drive.google.com/file/d/1rpV-P0xHh0AsOp567WaHpgOvZQk7HQ3Z/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Trombón;Académica;2023; https://drive.google.com/file/d/1ZnluTH3M3yc6SGHJOewe3ySwbiOs_ga4/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Viola;Académica;2023; https://drive.google.com/file/d/1odIBacz9GiQ6qVX6lDQ5fyt4Abyg3J3p/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Violín;Académica;2023; https://drive.google.com/file/d/1bzocb9iw5jGUyWsIpMeBfI1QZjQ0-U_t/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música con orientación en Violonchelo;Académica;2023; https://drive.google.com/file/d/1V7CDiy8zp-Fl6HDR_tBAbIXUlNwdeoEY/view?usp=sharing 
Santa Fé;Santa Fé;UNL;Instituto Superior de Música;Licenciatura en Música Popular;Popular;2023; https://drive.google.com/file/d/1UJu4KPal29q9ewnSpK3oO1n9JK2I3Fon/view?usp=sharing 
